 (-0.942702-0.002785j)  (-0.013133-0.020687j)  (-0.012097-0.012219j)  (-0.020811+0.019161j)  (-0.004239-0.023191j)  (0.012875+0.051136j)  (0.086242+0.116136j)  (0.013991-0.013734j)  (-0.043195+0.014395j)  (0.013027-0.008507j)  (-0.008582+0.005989j)  (0.053568+0.007008j)  (-0.023319+0.048627j)  (-0.009589+0.000890j)  (-0.020001-0.014879j)  (0.039030+0.037931j)  (0.012215-0.025418j)  (-0.000372+0.008480j)  (0.001460-0.017677j)  (0.011316-0.003211j)  (-0.035135-0.013270j)  (-0.016206-0.013198j)  (0.004825+0.004410j)  (-0.004656+0.000211j)  (0.014190-0.021930j)  (0.008072+0.009617j)  (-0.094024-0.014709j)  (-0.011972+0.000244j)  (0.010746+0.001221j)  (-0.003500+0.005759j)  (0.004151+0.007950j)  (-0.001941-0.010523j)  (-0.009211+0.011464j)  (-0.013995+0.007594j)  (0.004001+0.021975j)  (-0.000286-0.062814j)  (-0.011219+0.022180j)  (-0.003569+0.083108j)  (0.006915-0.001793j)  (0.012074-0.052727j)  (-0.006546+0.009453j)  (-0.006013-0.003656j)  (-0.037405+0.017340j)  (0.006670-0.003153j)  (0.000968-0.008540j)  (-0.044621-0.083117j)  (0.011779+0.000200j)  (0.023558-0.015380j)  (0.026597+0.013151j)  (0.008853-0.015713j)  (0.005137+0.000091j)  (-0.018510+0.008268j)  (0.018793-0.018554j)  (-0.005701+0.066788j)  (-0.083857-0.086021j)  (0.002532+0.024487j)  (0.000298-0.040318j)  (-0.014469+0.015548j)  (-0.020966-0.005237j)  (0.033169-0.033265j)  (0.032578+0.041749j)  (0.009829+0.004939j)  (-0.009182-0.002188j)  (0.000115+0.050005j)
 (0.066858-0.023274j)  (-0.004967+0.015447j)  (0.009322+0.000108j)  (-0.015743-0.040790j)  (0.002615+0.011722j)  (0.017159-0.011893j)  (-0.023655-0.077281j)  (0.005953+0.000533j)  (0.000952+0.003053j)  (-0.044888-0.041971j)  (0.002979+0.002230j)  (-0.015161-0.007433j)  (-0.000033+0.007716j)  (0.000572-0.003096j)  (0.000223-0.014984j)  (-0.016045-0.001588j)  (-0.010289+0.064744j)  (0.012155-0.041427j)  (-0.005154-0.000737j)  (-0.003055+0.004353j)  (-0.001565+0.001254j)  (-0.004438+0.006265j)  (-0.005480-0.000060j)  (-0.017542+0.066507j)  (-0.004436-0.005201j)  (-0.004849+0.005708j)  (-0.961557-0.003648j)  (-0.004969+0.049108j)  (-0.009832-0.027071j)  (0.018027-0.005827j)  (-0.018105-0.005690j)  (0.012804+0.043656j)  (-0.009989-0.007800j)  (0.005556+0.014291j)  (0.001237-0.007684j)  (-0.009597+0.011245j)  (0.010049-0.006145j)  (-0.012677-0.000212j)  (0.011347-0.001346j)  (-0.005308+0.059954j)  (0.031181+0.036707j)  (-0.010715+0.074479j)  (0.004443+0.036412j)  (0.001024+0.008459j)  (-0.015044+0.036455j)  (0.021637+0.016744j)  (-0.017037-0.062882j)  (-0.002898+0.005269j)  (0.006698-0.012774j)  (-0.006416+0.054747j)  (-0.003446+0.019258j)  (0.011574+0.003039j)  (0.006280-0.000168j)  (-0.000326+0.055586j)  (0.001500+0.024100j)  (0.000539-0.012331j)  (0.011117+0.006170j)  (0.011387+0.002059j)  (0.009924+0.006583j)  (0.041891-0.001756j)  (-0.000861-0.045780j)  (0.004057+0.036086j)  (0.023145-0.007093j)  (-0.008860-0.067162j)
 (-0.000833-0.003764j)  (0.013960+0.006265j)  (-0.000950+0.008964j)  (0.006081-0.008224j)  (0.003101+0.001940j)  (0.002738+0.004843j)  (-0.011121-0.059220j)  (0.006904-0.000315j)  (0.006914-0.003057j)  (-0.000980-0.000040j)  (0.013561-0.081977j)  (-0.016354-0.004548j)  (-0.008103-0.004145j)  (-0.012074+0.034670j)  (-0.008281-0.000532j)  (-0.005476-0.000599j)  (-0.043624+0.043878j)  (0.011829+0.017442j)  (-0.004376-0.000564j)  (0.002854+0.004511j)  (-0.003479+0.001268j)  (-0.003532-0.029321j)  (-0.003472-0.004988j)  (0.021609-0.004036j)  (0.005122+0.004587j)  (-0.004735-0.007816j)  (0.006815+0.048750j)  (-0.974369+0.005778j)  (0.002404-0.002617j)  (0.004606-0.002958j)  (0.024685-0.051860j)  (0.009241+0.005139j)  (0.009422+0.032891j)  (0.006917-0.006413j)  (0.007638+0.003920j)  (0.005957-0.009412j)  (0.004771-0.023212j)  (-0.004204-0.009627j)  (-0.000720+0.001801j)  (0.002570+0.002993j)  (-0.008571-0.038528j)  (-0.004643-0.007643j)  (0.009361-0.003184j)  (-0.024294-0.051360j)  (-0.003361-0.002001j)  (-0.023598-0.006673j)  (-0.002223+0.000315j)  (0.016559-0.002527j)  (-0.025420-0.041603j)  (0.005994+0.020862j)  (0.002506+0.000226j)  (-0.007014+0.039954j)  (-0.004727-0.004556j)  (-0.001917+0.007612j)  (0.045296-0.021254j)  (-0.005344+0.032093j)  (-0.002003-0.016089j)  (0.001743-0.033114j)  (0.003733+0.068581j)  (-0.008865-0.005744j)  (-0.013106+0.048036j)  (0.004551-0.018461j)  (0.012951+0.018776j)  (-0.006846+0.010964j)
 (-0.006287-0.003359j)  (-0.004424+0.004176j)  (-0.013119+0.006609j)  (0.007087+0.104879j)  (0.002113-0.009582j)  (-0.008392-0.008498j)  (0.010924+0.000439j)  (0.002014+0.001594j)  (-0.003153-0.000157j)  (-0.005605+0.004313j)  (-0.007076+0.009641j)  (-0.008323-0.004617j)  (0.026770+0.061695j)  (-0.096807+0.074253j)  (0.000815+0.008944j)  (0.010081+0.060004j)  (-0.002129-0.013797j)  (0.005068+0.001430j)  (-0.017886-0.017483j)  (0.002873+0.009935j)  (0.019249-0.003584j)  (-0.002359-0.003486j)  (0.006360+0.012679j)  (-0.002533+0.012459j)  (0.004254-0.000451j)  (-0.009555-0.004624j)  (0.004811-0.028653j)  (0.001486+0.002270j)  (-0.965585-0.007111j)  (-0.013893+0.013657j)  (0.000135-0.002755j)  (-0.001357+0.023295j)  (-0.004486+0.004479j)  (0.014472-0.003890j)  (0.009547-0.032441j)  (-0.015484-0.010274j)  (0.005636+0.073852j)  (0.024209-0.038288j)  (-0.004801-0.008494j)  (0.011664+0.002385j)  (-0.007466-0.016261j)  (-0.014294+0.000720j)  (0.022067+0.015071j)  (0.029101-0.023032j)  (0.006572-0.006269j)  (-0.011593-0.028011j)  (-0.023929-0.005135j)  (0.001896-0.047373j)  (0.001701-0.050644j)  (0.010037+0.006259j)  (-0.004351+0.001965j)  (0.010404-0.033310j)  (-0.009740+0.000669j)  (0.003418+0.004008j)  (0.030965+0.008312j)  (-0.001875-0.018331j)  (0.017211-0.000733j)  (-0.002679-0.003689j)  (0.008223-0.006699j)  (-0.002942+0.055727j)  (0.035442+0.034782j)  (-0.009355-0.008782j)  (0.018590+0.026558j)  (-0.009394-0.003583j)
 (0.002343+0.007495j)  (0.008583-0.009852j)  (0.022133-0.011430j)  (-0.002142-0.011791j)  (0.003706-0.000429j)  (-0.001089-0.004171j)  (-0.000583-0.000166j)  (0.001890+0.047802j)  (0.006560-0.007578j)  (-0.007459-0.000254j)  (-0.003607+0.005168j)  (-0.001652-0.001548j)  (-0.010277-0.004402j)  (0.012945-0.009479j)  (0.011931-0.049976j)  (0.003833-0.068532j)  (-0.016122+0.016126j)  (-0.013590-0.003084j)  (0.015145+0.000850j)  (0.019963+0.072048j)  (0.007615+0.027773j)  (0.002505-0.000366j)  (-0.004850-0.001888j)  (-0.012191+0.046925j)  (-0.017120-0.033322j)  (-0.014758+0.044903j)  (-0.007169+0.003672j)  (-0.003311-0.001785j)  (0.001865+0.007827j)  (-0.960103-0.002677j)  (-0.002700-0.046297j)  (0.022619+0.043925j)  (-0.002711-0.018767j)  (-0.002231-0.051080j)  (0.009122+0.002190j)  (-0.003413+0.067326j)  (0.008341+0.019093j)  (-0.002547+0.084383j)  (0.025812+0.024349j)  (-0.006115-0.010629j)  (-0.005891+0.013190j)  (-0.021817+0.006694j)  (-0.000019+0.009073j)  (0.016416-0.049907j)  (-0.032320-0.023023j)  (0.013921+0.039016j)  (0.004752+0.007813j)  (-0.013767+0.056848j)  (0.021310+0.006147j)  (-0.020636+0.004919j)  (0.018037-0.004520j)  (-0.004441+0.015657j)  (-0.011199-0.053313j)  (0.009108-0.009710j)  (-0.032244-0.023336j)  (0.010091+0.008053j)  (0.018898+0.005414j)  (-0.007880-0.062627j)  (-0.022998+0.003641j)  (0.022049+0.057873j)  (-0.007920-0.017764j)  (-0.052667+0.035588j)  (0.025301-0.014914j)  (-0.011787+0.035513j)
 (-0.005493+0.002664j)  (-0.000535-0.011490j)  (-0.016515-0.005214j)  (-0.004113-0.008163j)  (-0.007661-0.004417j)  (-0.014691+0.101376j)  (0.008213-0.021213j)  (-0.006360+0.013830j)  (-0.001817+0.001561j)  (0.017857-0.023082j)  (0.018300-0.006728j)  (-0.008121+0.001165j)  (0.007838-0.030614j)  (0.014948-0.006181j)  (-0.006039-0.011399j)  (0.001408-0.022093j)  (0.003058+0.000036j)  (-0.004600-0.022267j)  (-0.011779-0.034103j)  (0.006380-0.006633j)  (0.019676-0.050043j)  (-0.014197+0.051666j)  (0.012403-0.047247j)  (0.007121+0.002682j)  (0.005293+0.054099j)  (0.007274-0.013040j)  (0.005868-0.005624j)  (-0.021474-0.048235j)  (-0.006976-0.001497j)  (-0.004709-0.045521j)  (-0.964823+0.012439j)  (-0.035746-0.026165j)  (-0.018493+0.001332j)  (0.016585+0.000478j)  (-0.006238-0.043634j)  (0.003266+0.008521j)  (-0.009452-0.012416j)  (-0.004553+0.002942j)  (-0.002315-0.000954j)  (0.018790-0.006164j)  (0.028120+0.000160j)  (0.003527+0.001462j)  (0.003801+0.015253j)  (-0.017071+0.042021j)  (0.003636+0.004819j)  (-0.018918+0.065830j)  (-0.000591+0.041008j)  (0.007602-0.045918j)  (0.011790-0.003519j)  (0.019054+0.005416j)  (0.009074-0.022601j)  (-0.017111+0.007691j)  (-0.019664-0.009965j)  (-0.000282-0.023604j)  (0.001294+0.024040j)  (0.041946+0.025220j)  (0.027365-0.048077j)  (0.036693+0.001906j)  (-0.027212-0.000235j)  (-0.018681-0.025557j)  (-0.004239+0.048550j)  (-0.001970-0.021847j)  (-0.000676+0.033883j)  (-0.010257+0.053260j)
 (0.003706-0.009379j)  (-0.000684+0.075865j)  (0.001683+0.006634j)  (0.005001+0.001470j)  (0.005803-0.005957j)  (-0.011965+0.011502j)  (-0.000352+0.002328j)  (-0.008339+0.006705j)  (-0.001556-0.012538j)  (-0.013275+0.000036j)  (0.003128-0.000016j)  (0.005756-0.005255j)  (0.008771+0.002193j)  (-0.006233+0.026722j)  (-0.006836-0.068698j)  (0.007580+0.006918j)  (-0.003638-0.006356j)  (-0.005481-0.012749j)  (0.011210-0.057428j)  (-0.008752-0.007671j)  (-0.020354-0.070779j)  (0.000387+0.001241j)  (0.003613-0.006467j)  (0.004698-0.006317j)  (-0.030296-0.069829j)  (-0.010178-0.022266j)  (-0.016429+0.039441j)  (-0.002403+0.008152j)  (0.005930+0.020714j)  (-0.024997+0.050006j)  (0.039598-0.018772j)  (-0.956148-0.016425j)  (0.051382-0.016065j)  (0.004763+0.010022j)  (-0.016237+0.001714j)  (0.016982-0.007174j)  (-0.016737-0.014950j)  (-0.025699+0.029082j)  (0.007399+0.003590j)  (0.011956+0.037670j)  (-0.013223-0.037755j)  (-0.008893-0.018998j)  (0.024620-0.014709j)  (-0.004545+0.008732j)  (0.005619+0.011910j)  (-0.025788+0.017594j)  (0.025392-0.060821j)  (0.000371-0.041334j)  (-0.006630-0.000055j)  (0.005124-0.024953j)  (0.017558-0.023243j)  (-0.013553+0.003277j)  (-0.019914-0.042413j)  (0.028441-0.019858j)  (0.048075+0.009604j)  (0.008984+0.008130j)  (-0.016727+0.072203j)  (-0.019885+0.083245j)  (0.005341-0.019503j)  (0.018861+0.004507j)  (-0.031739+0.024898j)  (0.011747+0.034701j)  (0.013683+0.057416j)  (-0.046127+0.050568j)
 (0.002979+0.001557j)  (-0.004615+0.000341j)  (-0.006123-0.000049j)  (0.002215+0.003962j)  (0.000867+0.007188j)  (0.002273-0.001861j)  (0.010091-0.084074j)  (-0.000473+0.010366j)  (-0.012723-0.029432j)  (-0.002817+0.005878j)  (-0.001765+0.014192j)  (-0.001883-0.002535j)  (-0.006098-0.002040j)  (0.042701+0.017924j)  (0.001278-0.008777j)  (0.009031-0.010000j)  (0.017254+0.028210j)  (0.003395+0.003143j)  (-0.017191-0.002444j)  (0.000993+0.006106j)  (-0.010525+0.065223j)  (0.013018-0.014343j)  (0.003315-0.004090j)  (-0.026821-0.030410j)  (0.012954+0.022783j)  (0.006810-0.010163j)  (0.008700-0.002612j)  (0.000481+0.035702j)  (-0.004839+0.001439j)  (0.004699-0.013930j)  (0.014672-0.003097j)  (-0.060502-0.016414j)  (-0.976976+0.037550j)  (-0.004348+0.000505j)  (-0.020325+0.027288j)  (0.003891+0.000087j)  (0.023208-0.008370j)  (-0.005816+0.001217j)  (-0.006574+0.006737j)  (-0.000244-0.043015j)  (0.016925+0.003278j)  (-0.005573-0.040318j)  (0.011463+0.009147j)  (0.006679-0.009875j)  (0.002069+0.005885j)  (-0.014480-0.031018j)  (0.035881-0.021641j)  (-0.000965+0.044476j)  (0.007970-0.014164j)  (-0.002457-0.002822j)  (0.001560-0.005461j)  (-0.000237-0.001358j)  (-0.003013-0.010761j)  (0.003285-0.015977j)  (0.005777-0.012438j)  (-0.002740-0.009371j)  (0.008911+0.009318j)  (-0.000416+0.000055j)  (0.000101+0.047056j)  (-0.024728-0.020041j)  (-0.004098-0.011928j)  (-0.010211-0.007191j)  (-0.021459-0.039960j)  (-0.014092+0.022538j)
 (0.004714+0.007488j)  (-0.015116+0.102587j)  (0.015114+0.013675j)  (0.005954+0.005770j)  (0.001096+0.030263j)  (-0.004390+0.000329j)  (-0.009875-0.008712j)  (0.013563+0.016565j)  (0.001268+0.000490j)  (-0.019512+0.027747j)  (-0.002615-0.025286j)  (-0.008635-0.004361j)  (-0.016170+0.004769j)  (-0.002985+0.036099j)  (-0.008740+0.007438j)  (-0.019864-0.068987j)  (0.008889+0.077570j)  (0.009721-0.065292j)  (0.005157+0.005971j)  (-0.010224+0.011424j)  (0.008373-0.000734j)  (-0.001218-0.019364j)  (0.035423-0.010113j)  (0.007126+0.007499j)  (0.013177+0.004782j)  (0.027236+0.041906j)  (0.003776+0.008250j)  (0.001288-0.015105j)  (-0.012235-0.009789j)  (0.010854-0.051916j)  (-0.011002+0.002860j)  (-0.002744+0.009220j)  (0.008892+0.005076j)  (-0.957945+0.017980j)  (-0.041257-0.057063j)  (-0.011220-0.002593j)  (-0.015346+0.048815j)  (-0.008179+0.007142j)  (-0.028314-0.015177j)  (0.001382-0.004523j)  (0.006321+0.019901j)  (0.012549+0.024995j)  (-0.006440-0.001623j)  (-0.006716-0.020796j)  (0.026134-0.015051j)  (-0.032166-0.031505j)  (0.010467+0.007540j)  (-0.006466+0.002478j)  (0.015360+0.032369j)  (-0.018629+0.020911j)  (0.019630+0.001105j)  (0.057455-0.030283j)  (-0.010085+0.043488j)  (0.028556+0.004235j)  (0.051283-0.000808j)  (0.029241+0.085655j)  (-0.011115+0.003125j)  (0.002891-0.007401j)  (-0.004082-0.000416j)  (-0.008773+0.013670j)  (-0.000716-0.006538j)  (-0.005764+0.022370j)  (0.027960-0.040903j)  (0.025637+0.055195j)
 (0.009212+0.018139j)  (-0.002001-0.024888j)  (-0.022632-0.020145j)  (-0.010241+0.007619j)  (0.003413+0.000113j)  (0.006610+0.005618j)  (0.013283-0.001479j)  (0.005321+0.012378j)  (0.010196+0.054544j)  (0.015160-0.000051j)  (-0.014506-0.026121j)  (0.005864-0.007900j)  (-0.004473-0.003814j)  (0.008883-0.007754j)  (-0.001064+0.065956j)  (-0.006485-0.001287j)  (0.010447-0.002314j)  (-0.010417+0.001251j)  (-0.003502+0.040074j)  (0.008965-0.008704j)  (-0.015698-0.005639j)  (0.011554-0.046172j)  (-0.002826+0.000297j)  (0.039712+0.089841j)  (-0.007852-0.048979j)  (-0.008006-0.007738j)  (-0.008172-0.009816j)  (-0.003219+0.003511j)  (-0.008649-0.033578j)  (-0.006016+0.002105j)  (0.000975-0.050087j)  (0.006007+0.002633j)  (0.019024+0.015667j)  (0.037066-0.063160j)  (-0.961981+0.032332j)  (0.006010-0.013929j)  (-0.010931-0.029455j)  (0.000319+0.001016j)  (0.001152+0.002002j)  (0.013194-0.061764j)  (-0.002001-0.020067j)  (0.005899+0.001234j)  (0.025794+0.004872j)  (-0.000379+0.006578j)  (0.002723-0.001667j)  (-0.004387-0.001146j)  (-0.005872+0.002751j)  (0.011922+0.030725j)  (-0.016132-0.030732j)  (-0.011901-0.012638j)  (-0.020309-0.010318j)  (-0.005052-0.070569j)  (0.022911+0.062351j)  (-0.003719+0.045605j)  (-0.024647+0.002108j)  (-0.014620-0.009153j)  (0.013292-0.015353j)  (-0.007871+0.006630j)  (0.012431-0.003731j)  (0.000662+0.010548j)  (0.004358-0.015592j)  (-0.026963-0.021737j)  (-0.055538+0.038808j)  (0.018878+0.078611j)
 (0.005845-0.075058j)  (-0.007963+0.002624j)  (-0.003287-0.005725j)  (0.001969-0.000246j)  (0.008635-0.003640j)  (0.004424-0.003068j)  (0.029895-0.035386j)  (-0.015027-0.000458j)  (0.002037-0.004359j)  (-0.003806+0.010597j)  (-0.005778+0.003375j)  (0.011218-0.004918j)  (0.034175-0.083719j)  (-0.020457-0.015781j)  (-0.020113-0.066371j)  (0.009318+0.014876j)  (-0.015051+0.019663j)  (0.004552+0.039724j)  (-0.002843+0.057393j)  (-0.005592-0.064440j)  (-0.013673-0.022062j)  (0.006047-0.043229j)  (-0.000416+0.011247j)  (0.031274-0.030348j)  (0.007566-0.002952j)  (-0.003531+0.011173j)  (0.002199+0.011503j)  (-0.000489-0.003469j)  (0.010797-0.013852j)  (-0.001779+0.072421j)  (-0.000831+0.007022j)  (-0.004700-0.009208j)  (-0.005257+0.010950j)  (0.007354+0.009872j)  (-0.010545-0.020997j)  (-0.961492+0.001878j)  (-0.015946+0.009443j)  (0.004673+0.046183j)  (-0.013530-0.024774j)  (-0.002581-0.000108j)  (0.033726-0.022800j)  (-0.022132+0.007369j)  (0.003074+0.041007j)  (-0.034804-0.036585j)  (0.000985-0.047168j)  (0.001016+0.002855j)  (0.037844+0.042223j)  (-0.013943+0.001156j)  (0.000265+0.021009j)  (-0.004435-0.076178j)  (-0.033361+0.005135j)  (-0.014130+0.001470j)  (0.005228-0.018882j)  (0.018555+0.026342j)  (0.009724+0.002378j)  (0.003630+0.029849j)  (0.014582-0.000652j)  (0.007819+0.031881j)  (-0.022812-0.033599j)  (-0.020963-0.019801j)  (0.008103+0.021643j)  (0.005118-0.022262j)  (0.024070+0.021734j)  (-0.001923-0.020618j)
 (0.008739+0.015449j)  (-0.033830-0.030823j)  (0.003383-0.002657j)  (0.001286+0.008512j)  (0.026152+0.081218j)  (-0.000776-0.004330j)  (0.025237-0.064927j)  (-0.005330+0.010049j)  (-0.003432+0.004106j)  (0.003772-0.000138j)  (-0.010447+0.001234j)  (-0.011088+0.104473j)  (0.022517+0.052578j)  (0.007202+0.033803j)  (-0.018481+0.014813j)  (-0.006532-0.005494j)  (0.020910+0.040289j)  (0.004100+0.034127j)  (-0.010804-0.009468j)  (-0.001567-0.001213j)  (-0.023283+0.036434j)  (0.014684+0.050488j)  (0.000873-0.001392j)  (0.007675-0.007750j)  (-0.001763+0.003500j)  (-0.003927+0.006089j)  (-0.002956-0.003983j)  (-0.002564-0.026021j)  (-0.016883+0.067355j)  (0.002542+0.010627j)  (0.002870-0.010919j)  (0.016909-0.004438j)  (-0.008683+0.002127j)  (0.025019+0.049185j)  (0.000813-0.026525j)  (0.015540+0.010674j)  (-0.950561-0.016448j)  (-0.000329+0.011084j)  (-0.017903-0.004112j)  (-0.006111-0.000945j)  (0.013342-0.009882j)  (0.004734-0.042872j)  (0.020071-0.008833j)  (-0.015912-0.012832j)  (0.001399+0.011431j)  (-0.009781+0.008202j)  (0.017785+0.022103j)  (-0.011440+0.071959j)  (0.004838+0.045518j)  (-0.021863-0.009542j)  (-0.007380+0.006210j)  (0.015198+0.018409j)  (0.001648-0.001284j)  (-0.014816+0.040440j)  (-0.024354-0.006909j)  (0.042052+0.043126j)  (-0.049363+0.064566j)  (-0.006518-0.010331j)  (-0.026468+0.019994j)  (0.035994-0.047804j)  (-0.015389-0.006271j)  (-0.047295+0.109608j)  (-0.002678-0.012499j)  (-0.024571-0.020438j)
 (0.013964+0.082006j)  (0.021903-0.012179j)  (0.017606+0.003415j)  (0.002132+0.008232j)  (-0.003662-0.077304j)  (0.002029-0.002815j)  (-0.040028+0.029692j)  (-0.003416-0.005699j)  (-0.000544-0.007400j)  (0.041008+0.067376j)  (0.010567+0.008323j)  (-0.013961-0.000874j)  (0.014591+0.036777j)  (-0.000885+0.003031j)  (0.018658-0.038581j)  (0.008615+0.014057j)  (0.002430-0.006004j)  (0.014185+0.051409j)  (-0.006307+0.021965j)  (0.010770+0.008845j)  (0.007408+0.002865j)  (-0.007761-0.037014j)  (0.011725+0.059416j)  (0.020320+0.005884j)  (-0.019523+0.052105j)  (-0.003035+0.002709j)  (-0.002825+0.006612j)  (0.003448-0.018738j)  (-0.020702-0.046974j)  (0.004512+0.080011j)  (-0.002980+0.013239j)  (0.024338+0.024068j)  (-0.003941-0.002386j)  (-0.001604+0.007767j)  (-0.002284-0.008633j)  (0.003333+0.048410j)  (-0.007817+0.017812j)  (-0.958001+0.004463j)  (0.003752+0.002154j)  (-0.009002-0.036341j)  (-0.065927+0.018006j)  (-0.006122-0.001099j)  (-0.000302-0.038281j)  (-0.029626+0.005789j)  (-0.002211+0.004269j)  (-0.045096+0.034594j)  (0.009182-0.001817j)  (0.018422-0.012454j)  (0.016263+0.023003j)  (0.009654-0.052060j)  (0.008655-0.014634j)  (-0.006401+0.002822j)  (-0.039233+0.000402j)  (0.023873+0.030746j)  (-0.033767-0.019382j)  (0.000594+0.022820j)  (-0.038105-0.026246j)  (-0.008257+0.021717j)  (-0.012342+0.021378j)  (0.018004-0.004026j)  (-0.001168-0.004637j)  (0.014190-0.042668j)  (0.018508+0.021970j)  (0.016311-0.034973j)
 (-0.004196-0.001931j)  (-0.005894+0.003373j)  (-0.003461+0.000765j)  (-0.017861-0.075376j)  (-0.004644-0.005307j)  (0.000774-0.005466j)  (-0.006330-0.015066j)  (-0.083804-0.023096j)  (-0.001564+0.006802j)  (-0.005213-0.004129j)  (-0.004169-0.000311j)  (0.007622-0.001996j)  (-0.001927+0.003691j)  (0.007531-0.000421j)  (-0.016028+0.002733j)  (0.007309+0.014610j)  (0.023014-0.061819j)  (-0.022415-0.064083j)  (0.005628+0.010019j)  (-0.009735+0.000630j)  (0.002435+0.002689j)  (0.001747-0.003950j)  (-0.005506+0.003748j)  (0.001115+0.000279j)  (-0.007258+0.034946j)  (-0.012441+0.007014j)  (-0.000152-0.003972j)  (-0.002588+0.001839j)  (0.004758-0.005915j)  (-0.030646+0.036018j)  (-0.002373-0.000488j)  (-0.006950+0.004357j)  (0.002286+0.000646j)  (0.013858-0.013548j)  (0.000783+0.003296j)  (0.016359-0.023290j)  (0.003153-0.008187j)  (-0.004661+0.008279j)  (-0.972704+0.041029j)  (0.007475+0.004738j)  (-0.001277+0.000691j)  (-0.028852+0.038389j)  (-0.008417+0.007871j)  (-0.000099-0.004910j)  (0.003090-0.005163j)  (0.001704+0.003507j)  (-0.029676-0.036510j)  (0.002156-0.000622j)  (-0.017485-0.048859j)  (-0.001274+0.003978j)  (0.014737+0.014504j)  (0.005073-0.000432j)  (0.013417-0.033550j)  (0.013854+0.065301j)  (-0.000682-0.003126j)  (-0.047479-0.026030j)  (-0.005651-0.007590j)  (-0.009858+0.009685j)  (-0.011941-0.040146j)  (-0.031758+0.011870j)  (0.020228+0.034260j)  (-0.005773-0.010704j)  (-0.004838-0.007576j)  (0.000964-0.034877j)
 (-0.025171-0.054565j)  (-0.018596-0.008282j)  (-0.002606-0.110268j)  (-0.003967+0.003073j)  (-0.001431-0.008669j)  (-0.008464-0.001151j)  (0.018332-0.011978j)  (-0.012289-0.003195j)  (0.008177+0.045969j)  (-0.008935+0.005870j)  (-0.004592-0.006045j)  (-0.015874-0.002525j)  (-0.004352+0.002007j)  (-0.004121+0.056310j)  (-0.019554+0.000344j)  (0.008363+0.044785j)  (0.024567+0.033494j)  (-0.002756+0.006617j)  (-0.001020-0.015720j)  (0.009872+0.050932j)  (0.011402+0.055180j)  (0.006981-0.003181j)  (0.001938+0.009854j)  (0.005688+0.041225j)  (-0.010646+0.011183j)  (0.022749+0.017595j)  (0.013824+0.047889j)  (-0.001987+0.002559j)  (0.003640-0.000432j)  (0.002649-0.013619j)  (-0.022099-0.002129j)  (-0.015063+0.037870j)  (-0.002066-0.041926j)  (-0.006609-0.003682j)  (-0.001935-0.059292j)  (-0.001735-0.003972j)  (0.006080+0.002534j)  (0.001900-0.027035j)  (-0.006431+0.010840j)  (-0.962865+0.029735j)  (-0.016146-0.047600j)  (0.015977+0.009806j)  (0.044923-0.027410j)  (0.011046+0.008125j)  (-0.008043+0.000117j)  (0.010348-0.016879j)  (-0.001069-0.003206j)  (-0.011713+0.002625j)  (-0.005181+0.012922j)  (0.015150-0.000757j)  (-0.000004-0.009654j)  (-0.014966+0.008458j)  (0.007497+0.046395j)  (-0.009647+0.011392j)  (0.024725+0.013218j)  (0.000809-0.072867j)  (0.026453-0.017970j)  (-0.003172+0.009200j)  (0.017564-0.029678j)  (0.012421+0.000189j)  (-0.000599-0.020257j)  (-0.028676-0.022410j)  (-0.045192+0.046618j)  (-0.017452-0.014774j)
 (0.005815-0.002679j)  (0.025393-0.090688j)  (-0.002550-0.014272j)  (-0.017754-0.002747j)  (-0.011448+0.087056j)  (0.014247+0.002356j)  (0.013607+0.004108j)  (-0.002159+0.001661j)  (-0.016837+0.032217j)  (-0.000527-0.002076j)  (-0.007249-0.020120j)  (0.002354-0.002865j)  (0.011739+0.004792j)  (0.028249-0.091679j)  (0.011620-0.010042j)  (-0.015241-0.006191j)  (0.013442+0.026855j)  (-0.020821+0.013386j)  (-0.009156+0.002456j)  (0.000705+0.012239j)  (0.025235+0.063096j)  (0.004570+0.014540j)  (0.007179+0.062233j)  (-0.020675+0.001167j)  (0.005947+0.000433j)  (0.002665+0.004576j)  (-0.031580+0.035050j)  (0.007714-0.037879j)  (-0.010543-0.000330j)  (0.011257+0.004454j)  (-0.015857+0.002012j)  (-0.013166-0.046641j)  (-0.014826+0.006683j)  (-0.014858+0.015096j)  (-0.003824-0.016199j)  (-0.028482-0.018812j)  (-0.002434-0.002897j)  (0.060155+0.011469j)  (-0.006000-0.003491j)  (0.013060-0.029054j)  (-0.957320-0.004581j)  (-0.000899+0.004747j)  (-0.004137+0.065475j)  (-0.003700+0.001466j)  (0.000560-0.001081j)  (0.038097+0.069228j)  (-0.002457+0.031107j)  (-0.011840+0.001324j)  (0.003835+0.008806j)  (-0.000879+0.055935j)  (-0.015375+0.016159j)  (-0.013898+0.049448j)  (0.008441-0.007578j)  (-0.014505-0.027334j)  (0.012935+0.007119j)  (0.038955+0.043485j)  (0.010809-0.000856j)  (0.002284-0.002970j)  (-0.024406-0.006044j)  (0.020353-0.018648j)  (-0.013882+0.014598j)  (0.024336-0.052651j)  (-0.012560-0.034652j)  (0.007894-0.014212j)
