 (-0.947647+0.001942j)  (-0.040745-0.013713j)  (-0.011534+0.014969j)  (-0.034266+0.010947j)  (0.027726-0.008265j)  (0.025623-0.012308j)  (0.027863+0.014083j)  (0.018181-0.000819j)  (-0.013526+0.000021j)  (-0.017982-0.007448j)  (0.082227-0.121369j)  (-0.022103+0.010364j)  (0.015965-0.007070j)  (-0.008072-0.008908j)  (0.008183-0.079079j)  (-0.009265+0.002124j)  (-0.012784-0.018383j)  (-0.041625-0.076632j)  (-0.015479-0.006550j)  (0.007411+0.000482j)  (-0.003269-0.071661j)  (0.018007+0.077159j)  (0.000884-0.014090j)  (0.005007+0.012602j)  (0.015754-0.000215j)  (0.009829-0.003683j)  (-0.016233-0.086137j)  (-0.000140+0.007664j)  (-0.001977-0.013319j)  (-0.011050+0.001732j)  (0.008122+0.034370j)  (-0.036869-0.075154j)  (0.008056+0.001449j)  (-0.022579+0.079444j)  (-0.023347-0.000781j)  (0.022991+0.004945j)  (-0.007838-0.009385j)  (-0.000525-0.003967j)  (-0.007236+0.016221j)  (-0.010572+0.005935j)  (-0.000193+0.010191j)  (-0.017342+0.001520j)  (-0.012046+0.023027j)  (-0.007690-0.014917j)  (0.000347+0.000342j)  (-0.028844+0.018636j)  (0.015841+0.003427j)  (0.006338-0.004764j)  (0.037438-0.007258j)  (0.017074+0.020737j)  (-0.001105-0.002131j)  (0.001702-0.008456j)  (-0.010750-0.001286j)  (0.010553+0.059192j)  (0.008664+0.016226j)  (-0.002010-0.019601j)  (0.017706-0.000822j)  (-0.000961-0.002646j)  (0.006536-0.010252j)  (-0.016716+0.001653j)  (0.029013-0.051653j)  (0.013218+0.059030j)  (-0.046689-0.023319j)  (-0.015598-0.001452j)
 (0.013175-0.093544j)  (0.023635+0.117966j)  (0.001248-0.047922j)  (-0.001291+0.013013j)  (0.000281-0.030972j)  (0.014341-0.000500j)  (-0.010939+0.001027j)  (0.006605+0.015319j)  (0.001026-0.002914j)  (0.012118-0.005146j)  (-0.017769-0.023885j)  (-0.016819-0.008847j)  (0.025044+0.003993j)  (0.014310-0.005725j)  (0.000786-0.011320j)  (0.010152-0.015412j)  (-0.002374-0.005894j)  (0.007914+0.003667j)  (-0.000477-0.001109j)  (0.005186-0.001366j)  (-0.008445-0.008490j)  (0.007457-0.005300j)  (-0.010389+0.008891j)  (-0.003281+0.005521j)  (-0.011603+0.001786j)  (-0.000594+0.006784j)  (-0.961553-0.018885j)  (0.015202-0.038617j)  (-0.031761-0.056854j)  (0.000444+0.004524j)  (-0.018349+0.016769j)  (0.014001+0.004019j)  (0.016992+0.061234j)  (0.011026-0.034675j)  (0.045499-0.037213j)  (0.012218+0.003785j)  (0.004143-0.004853j)  (0.004081+0.057851j)  (0.013819+0.022359j)  (0.015015+0.082588j)  (-0.008520-0.004005j)  (-0.024688+0.045333j)  (-0.002089-0.006975j)  (-0.003215-0.000971j)  (-0.022451+0.013264j)  (-0.003472+0.015889j)  (-0.007667-0.011799j)  (0.004881+0.014070j)  (-0.010404+0.025158j)  (0.009488+0.007447j)  (-0.004369-0.015220j)  (0.006620+0.009843j)  (0.018299-0.016556j)  (0.027046-0.017668j)  (0.003322+0.003613j)  (-0.026121-0.004743j)  (0.016446+0.030943j)  (-0.005673+0.001944j)  (0.010422-0.050971j)  (0.005275-0.004777j)  (0.035632+0.022920j)  (-0.006458-0.006163j)  (0.019193-0.009852j)  (0.008327+0.053410j)
 (0.005414-0.004856j)  (0.004074+0.010504j)  (-0.007111+0.006015j)  (0.010685-0.004683j)  (0.003141-0.001665j)  (-0.001243+0.041986j)  (-0.015515-0.068268j)  (-0.005631-0.002448j)  (0.019672+0.001900j)  (0.005021-0.004441j)  (-0.017169-0.009011j)  (-0.001361-0.003488j)  (-0.000158-0.017978j)  (-0.006514+0.007415j)  (-0.025011-0.009697j)  (0.003394+0.002436j)  (-0.025251-0.051291j)  (0.008958+0.006599j)  (-0.018676+0.006150j)  (0.021519+0.061671j)  (-0.007644-0.005456j)  (0.016138-0.000209j)  (0.001196+0.011262j)  (-0.010465-0.045525j)  (0.030057-0.012545j)  (-0.002449-0.004890j)  (-0.018606-0.042155j)  (-0.962217-0.019536j)  (-0.006126+0.003871j)  (-0.015892+0.003950j)  (-0.018659+0.000123j)  (-0.037733+0.063664j)  (-0.011406+0.000794j)  (-0.001273-0.001611j)  (-0.017066+0.007737j)  (-0.003606+0.008710j)  (-0.019566-0.007636j)  (-0.000387-0.083162j)  (-0.000658+0.003879j)  (0.004762-0.005397j)  (0.014167-0.007516j)  (-0.016321+0.050676j)  (0.013850-0.002659j)  (0.033691-0.089230j)  (-0.003857-0.032331j)  (-0.003098-0.014018j)  (-0.009883+0.030610j)  (0.010330-0.043962j)  (0.008743+0.029082j)  (-0.001861-0.020621j)  (-0.000792-0.000871j)  (0.004623-0.047669j)  (0.023325-0.044539j)  (-0.004058+0.013059j)  (0.029239+0.040367j)  (0.003167+0.061292j)  (-0.026373-0.030237j)  (-0.004148-0.020815j)  (-0.027833-0.010876j)  (0.000450-0.022563j)  (-0.000156-0.017392j)  (0.024431+0.006368j)  (-0.031900-0.036221j)  (-0.018849-0.012856j)
 (-0.004705-0.003689j)  (0.016691+0.000114j)  (-0.000654-0.007242j)  (-0.009240-0.008061j)  (-0.010343+0.082687j)  (-0.033103+0.082583j)  (0.005979+0.027327j)  (0.007336+0.000058j)  (0.005593+0.007767j)  (0.002363-0.006087j)  (0.023305+0.072851j)  (-0.003618-0.000415j)  (-0.022834+0.046109j)  (-0.002227+0.015965j)  (-0.006481-0.008763j)  (0.005867+0.009057j)  (-0.006457+0.006120j)  (-0.009099-0.000259j)  (-0.013606+0.008531j)  (0.017255-0.013398j)  (0.002406+0.003125j)  (0.036199-0.010638j)  (-0.009621+0.003698j)  (-0.007450+0.083220j)  (-0.000982-0.003135j)  (-0.016539+0.009418j)  (0.028127-0.058488j)  (0.008429+0.001867j)  (-0.962006+0.002515j)  (0.005430-0.003157j)  (-0.030782+0.020662j)  (-0.002524+0.037513j)  (-0.000041-0.019151j)  (-0.004462+0.029275j)  (0.014342-0.047425j)  (-0.031282+0.003103j)  (-0.009396+0.011092j)  (-0.020007-0.003764j)  (0.018171+0.086295j)  (0.017788-0.004815j)  (-0.012460+0.001812j)  (-0.002595-0.007489j)  (-0.011610+0.006986j)  (-0.004350-0.004438j)  (0.003217+0.021590j)  (0.008784+0.015036j)  (0.012493+0.009394j)  (0.028903-0.049940j)  (-0.016387-0.022351j)  (0.006942-0.031502j)  (-0.032305-0.008836j)  (0.017764+0.040634j)  (0.000781+0.008668j)  (-0.029494+0.012164j)  (-0.003603-0.004368j)  (-0.005008+0.006714j)  (0.008518-0.012716j)  (0.002063+0.001935j)  (-0.025697-0.005748j)  (-0.001197-0.019253j)  (-0.070122+0.034754j)  (0.007817+0.016949j)  (-0.011457+0.003173j)  (-0.000368+0.005624j)
 (0.004868-0.003110j)  (0.002743-0.007137j)  (-0.002140-0.002887j)  (-0.015546-0.001653j)  (-0.005365-0.005858j)  (-0.003771+0.005831j)  (-0.010748+0.006778j)  (0.004637-0.001207j)  (0.006919+0.002296j)  (-0.017062+0.050931j)  (0.009175+0.001588j)  (-0.001567-0.026969j)  (-0.008539+0.006417j)  (-0.001570-0.004055j)  (-0.012509-0.014407j)  (-0.008683+0.008732j)  (-0.003357-0.009267j)  (0.005745+0.052391j)  (0.024595+0.016884j)  (-0.003738+0.006572j)  (0.005746-0.015325j)  (-0.000880+0.013501j)  (0.000057+0.002248j)  (-0.000246-0.002994j)  (0.001448+0.007794j)  (0.000675+0.003427j)  (-0.005782+0.012783j)  (0.019417+0.002196j)  (-0.002660-0.000509j)  (-0.979963-0.001272j)  (-0.011336-0.047065j)  (0.008998+0.005270j)  (-0.000713+0.010513j)  (0.004273+0.028541j)  (-0.000457+0.011030j)  (-0.003167-0.011390j)  (0.012694+0.007417j)  (-0.014521-0.017254j)  (0.021469+0.047316j)  (-0.006878-0.006730j)  (0.016719+0.007501j)  (-0.001649-0.004236j)  (0.026241+0.003742j)  (-0.003283-0.024165j)  (-0.031087+0.033091j)  (0.040596+0.019181j)  (-0.028469+0.031405j)  (0.007786-0.007831j)  (0.008478-0.000168j)  (0.001034-0.005489j)  (0.031756-0.001657j)  (0.001984-0.005243j)  (0.004203+0.033219j)  (-0.003371+0.002038j)  (-0.009380-0.004822j)  (0.010464-0.008524j)  (0.003498+0.004400j)  (0.021816-0.061096j)  (0.015889+0.009006j)  (0.000426+0.017775j)  (-0.012285-0.012764j)  (-0.006668-0.072707j)  (0.001645+0.000093j)  (-0.021272-0.035837j)
 (-0.005764+0.066189j)  (-0.001475-0.006354j)  (-0.035147+0.086508j)  (0.008435+0.105496j)  (-0.000125-0.113898j)  (0.001898-0.008348j)  (-0.014989+0.008208j)  (0.008470+0.001404j)  (0.003791-0.003923j)  (0.014571+0.012503j)  (0.028768+0.136267j)  (-0.006842-0.001864j)  (0.053970+0.083123j)  (0.002752-0.015217j)  (0.014002-0.000844j)  (0.014543-0.000219j)  (0.001632-0.000086j)  (0.003570-0.041452j)  (-0.023597-0.067644j)  (0.007539-0.012134j)  (0.010751+0.025818j)  (-0.019018-0.006416j)  (-0.017262-0.024787j)  (0.003188-0.005847j)  (0.031255+0.041700j)  (0.012883+0.041423j)  (0.009382+0.009771j)  (0.006201+0.001630j)  (0.029222+0.019926j)  (0.004122-0.055516j)  (-0.924001+0.036751j)  (0.004561-0.056216j)  (0.017106-0.033100j)  (-0.071479+0.067905j)  (0.018773+0.003964j)  (0.014901-0.003552j)  (0.009838+0.000848j)  (0.051410+0.051463j)  (-0.008679-0.001706j)  (0.000563+0.008267j)  (-0.003900-0.005856j)  (0.016874+0.002575j)  (-0.006707-0.021307j)  (-0.013009-0.043168j)  (0.006847-0.032543j)  (-0.002486-0.022977j)  (0.032073+0.085219j)  (0.017032-0.009790j)  (0.032044-0.047438j)  (-0.041874+0.079030j)  (0.008358-0.045240j)  (0.007394-0.001869j)  (-0.012790-0.033203j)  (0.013424+0.009399j)  (-0.023975-0.002379j)  (-0.037153-0.001970j)  (0.008113+0.002137j)  (-0.009242+0.002422j)  (-0.000688+0.004192j)  (-0.008206-0.059046j)  (0.010296+0.034987j)  (-0.022015-0.027682j)  (0.019786-0.004361j)  (-0.002733+0.032914j)
 (0.034769-0.094530j)  (-0.010125+0.011842j)  (0.015862+0.020909j)  (0.024491+0.040957j)  (0.007491-0.084669j)  (-0.017627-0.081879j)  (0.004542+0.001823j)  (-0.000450-0.001727j)  (0.007956-0.008198j)  (-0.008572+0.000651j)  (-0.006141+0.013185j)  (0.007571+0.002768j)  (-0.014306-0.008998j)  (-0.009420-0.002470j)  (-0.001770+0.005046j)  (0.005058+0.006293j)  (-0.023064+0.052124j)  (0.009217+0.043202j)  (-0.006288-0.007124j)  (-0.002019-0.019297j)  (-0.003014+0.010389j)  (0.015256-0.025452j)  (-0.013761-0.019501j)  (0.005623-0.002223j)  (-0.018475-0.052649j)  (-0.005039+0.005707j)  (-0.002628+0.006492j)  (0.031652+0.062743j)  (-0.001378+0.044909j)  (-0.001013+0.000455j)  (0.008406-0.064209j)  (-0.940271-0.008828j)  (0.035256-0.029424j)  (-0.050826+0.049000j)  (0.025992+0.022451j)  (0.014924+0.070307j)  (-0.001196-0.006026j)  (0.011022-0.000702j)  (0.024179+0.083240j)  (0.021492+0.006025j)  (0.017367+0.004708j)  (0.009142-0.019722j)  (0.009005-0.011128j)  (-0.012175+0.000946j)  (0.005802-0.001359j)  (-0.005401+0.012194j)  (0.017774-0.009806j)  (-0.052258-0.072061j)  (-0.023805-0.012266j)  (-0.001105+0.003071j)  (0.006018-0.008770j)  (-0.003669+0.015648j)  (0.102821+0.031221j)  (0.010423-0.032278j)  (-0.004414-0.009084j)  (0.003029+0.000545j)  (0.006985-0.060725j)  (-0.015799-0.028919j)  (0.020240-0.075070j)  (-0.009046+0.007326j)  (0.022565-0.055533j)  (0.000154+0.013417j)  (-0.020280+0.024645j)  (0.004424+0.067548j)
 (-0.000003+0.002420j)  (0.006691+0.010859j)  (0.009104-0.006407j)  (0.031669+0.048148j)  (-0.006535-0.002572j)  (-0.007703-0.002285j)  (-0.011139+0.060072j)  (-0.006800+0.003481j)  (0.014909+0.006031j)  (0.001772+0.001972j)  (0.013805+0.017231j)  (0.012191-0.002970j)  (0.012944-0.005115j)  (-0.010157-0.007318j)  (0.023524-0.065030j)  (0.001013-0.016778j)  (0.001438-0.003239j)  (-0.002616-0.000454j)  (0.017938-0.008219j)  (0.000597+0.008133j)  (0.012454-0.006175j)  (0.004337-0.000400j)  (-0.007647-0.074371j)  (-0.003126+0.020213j)  (0.012499+0.008372j)  (-0.015016+0.047715j)  (-0.015639+0.067664j)  (-0.000639+0.002552j)  (0.001608-0.010966j)  (0.005826+0.011893j)  (-0.006452-0.040130j)  (-0.019541-0.023314j)  (-0.965403-0.038505j)  (0.013963-0.005534j)  (0.003742+0.084114j)  (0.002294+0.009341j)  (0.004187+0.004561j)  (-0.008947+0.016127j)  (-0.005828+0.065797j)  (-0.000508+0.044563j)  (-0.004463+0.019153j)  (-0.001822-0.000186j)  (-0.015756+0.017156j)  (-0.008874+0.017757j)  (0.003559+0.003262j)  (0.003422-0.009051j)  (0.016214+0.004925j)  (0.001408-0.000988j)  (0.021844+0.025395j)  (0.011526-0.013209j)  (0.026927+0.019525j)  (-0.004150+0.019060j)  (0.018135-0.002499j)  (-0.041830+0.066714j)  (0.006260-0.008037j)  (0.000320+0.026257j)  (0.046509+0.023052j)  (-0.002337-0.004942j)  (0.046001+0.023919j)  (-0.018098+0.005615j)  (-0.008603-0.023619j)  (0.013652+0.022972j)  (0.000956-0.011899j)  (0.024958+0.039299j)
 (0.020078+0.082180j)  (0.014589+0.000657j)  (-0.030064-0.019844j)  (-0.001596+0.031390j)  (-0.003980+0.007756j)  (0.003810+0.011804j)  (-0.006826-0.005641j)  (0.005836+0.014449j)  (0.006752+0.039116j)  (0.001836+0.008986j)  (0.040390-0.070341j)  (-0.014174-0.010657j)  (-0.000207+0.005317j)  (0.004774-0.011198j)  (-0.005001+0.005376j)  (0.007632-0.059917j)  (0.008706+0.001327j)  (0.007258+0.010063j)  (0.016439-0.011104j)  (-0.020490-0.066307j)  (0.015696-0.005552j)  (-0.008150-0.011799j)  (-0.006185+0.005334j)  (0.001256-0.001561j)  (-0.039754+0.038952j)  (-0.009944+0.087052j)  (-0.009156-0.033101j)  (-0.006107+0.000084j)  (0.004291+0.005012j)  (-0.000127+0.024291j)  (0.069041+0.075809j)  (0.046573+0.059455j)  (-0.011281-0.004382j)  (-0.948383-0.031701j)  (0.001762+0.033008j)  (-0.020222+0.067481j)  (0.014120+0.028309j)  (0.037300+0.005836j)  (0.021859+0.015857j)  (-0.000082-0.008016j)  (-0.005893+0.009348j)  (-0.015492-0.010715j)  (-0.018865+0.001257j)  (-0.005395-0.009853j)  (0.031768+0.065819j)  (0.014213-0.052884j)  (-0.017788+0.004896j)  (-0.008703+0.024072j)  (-0.021480+0.064306j)  (0.014778+0.000386j)  (-0.015822-0.016702j)  (-0.007027+0.002483j)  (0.021455+0.069447j)  (0.003822+0.004594j)  (-0.014133+0.014340j)  (-0.008899+0.003031j)  (-0.028578-0.011262j)  (-0.009596-0.009599j)  (0.011912-0.005322j)  (0.027324+0.019384j)  (-0.007407+0.009221j)  (0.010450-0.073313j)  (-0.034654+0.007231j)  (0.024980+0.035159j)
 (0.012316-0.005475j)  (-0.013586+0.007796j)  (0.005743+0.007789j)  (-0.003743+0.009171j)  (-0.014029+0.009566j)  (0.005648-0.009108j)  (0.007867+0.008785j)  (0.002706-0.094640j)  (-0.007077+0.023076j)  (-0.000808+0.005326j)  (-0.030006+0.089562j)  (-0.007633+0.004857j)  (0.011395-0.003894j)  (-0.000052+0.000171j)  (-0.011075+0.031997j)  (0.010059-0.007741j)  (-0.017427+0.001002j)  (0.008254+0.016341j)  (-0.057405-0.016680j)  (0.005119+0.000549j)  (-0.004456+0.001699j)  (-0.008155-0.011762j)  (0.008137+0.004956j)  (0.004985-0.001452j)  (-0.002833+0.014336j)  (-0.000063-0.001898j)  (-0.035806-0.031104j)  (0.019245+0.004359j)  (-0.003635-0.048941j)  (-0.002787+0.009798j)  (-0.007586-0.002930j)  (-0.015080+0.034153j)  (-0.008457+0.096702j)  (-0.004587+0.044420j)  (-0.964537+0.019333j)  (-0.001885+0.031136j)  (0.002036+0.007657j)  (-0.005655+0.000352j)  (0.006189-0.003244j)  (0.017101+0.020525j)  (-0.041673-0.012874j)  (-0.005819+0.000071j)  (-0.022915-0.039775j)  (0.004577-0.004829j)  (0.016225+0.000531j)  (0.005972+0.027396j)  (0.009981-0.015398j)  (-0.010708-0.029673j)  (-0.024407-0.009816j)  (0.007026+0.013508j)  (0.004428-0.010196j)  (-0.011235+0.011082j)  (0.008995+0.051836j)  (0.000232-0.020765j)  (0.001072-0.015787j)  (-0.007751-0.014252j)  (0.004064-0.016033j)  (0.006801+0.012207j)  (-0.013129+0.048133j)  (0.003082-0.007516j)  (0.013075+0.015015j)  (0.013420+0.017494j)  (-0.003988-0.054946j)  (-0.024070+0.066647j)
 (-0.011379-0.007604j)  (0.083130-0.005355j)  (0.002790+0.002883j)  (0.008767-0.008611j)  (0.002870-0.002943j)  (-0.059742-0.082935j)  (-0.013541+0.034512j)  (-0.004756+0.154109j)  (-0.010220-0.004999j)  (-0.004076+0.036032j)  (0.025531-0.067034j)  (0.002122-0.011439j)  (-0.022029+0.012282j)  (-0.009027-0.057854j)  (0.010336-0.002583j)  (-0.019602+0.006301j)  (0.028769+0.051399j)  (-0.009718+0.012285j)  (0.011679+0.056614j)  (0.003264+0.009323j)  (0.020993-0.014388j)  (0.009990+0.012226j)  (-0.010298-0.008235j)  (-0.003718-0.003785j)  (0.015743+0.029787j)  (0.007547-0.015234j)  (-0.012478-0.003295j)  (0.001987+0.008868j)  (0.027793+0.009259j)  (0.009028-0.004822j)  (-0.016739-0.015461j)  (-0.002507+0.057587j)  (0.002450+0.007669j)  (0.016304+0.071173j)  (-0.012659+0.018539j)  (-0.942401-0.054945j)  (-0.015951+0.059190j)  (0.013953+0.026412j)  (0.004019+0.011946j)  (0.014682-0.002017j)  (-0.007497-0.006478j)  (-0.001612+0.054235j)  (-0.014069+0.050576j)  (0.007253-0.063642j)  (0.033452-0.051414j)  (-0.021461+0.014550j)  (0.003965-0.011396j)  (-0.022688+0.009475j)  (-0.005221-0.084254j)  (-0.001993-0.001976j)  (0.019360-0.004115j)  (0.012083+0.024610j)  (0.022514+0.007654j)  (0.001155-0.011057j)  (-0.014441-0.017522j)  (-0.038699+0.015207j)  (-0.005301-0.009076j)  (-0.009678-0.005318j)  (-0.000075+0.031924j)  (-0.011114+0.014398j)  (0.016304-0.009101j)  (0.000432+0.012600j)  (-0.015574-0.015208j)  (0.000000+0.010480j)
 (0.006750-0.011320j)  (-0.008070-0.009381j)  (0.011997+0.002375j)  (-0.022192+0.087645j)  (0.006311+0.015660j)  (0.003868-0.011981j)  (0.006470-0.000076j)  (-0.029643+0.017856j)  (0.002854+0.009353j)  (-0.006348+0.010266j)  (0.002340-0.040735j)  (0.029093-0.100350j)  (-0.006206+0.001369j)  (0.009000-0.043568j)  (-0.003478+0.001433j)  (-0.037109-0.109586j)  (0.008596+0.011110j)  (-0.008843+0.043378j)  (-0.030925+0.043166j)  (-0.028630-0.002683j)  (-0.004602+0.036979j)  (-0.011072+0.013007j)  (0.000444+0.008468j)  (-0.011484-0.002696j)  (0.004412-0.009563j)  (0.003327-0.040219j)  (0.004001+0.002775j)  (0.014889+0.001220j)  (0.000235+0.000983j)  (-0.008083+0.007613j)  (-0.010588-0.000447j)  (0.011680+0.000665j)  (-0.005989+0.009173j)  (0.002605+0.019203j)  (0.001393-0.004889j)  (0.020728+0.075942j)  (-0.955718-0.069111j)  (0.009524+0.014888j)  (0.009868-0.036739j)  (-0.009918+0.008420j)  (-0.010567-0.013247j)  (-0.016675-0.025849j)  (0.028672+0.008444j)  (0.023758+0.020544j)  (0.000887-0.025653j)  (0.020899+0.006814j)  (-0.009508+0.019141j)  (0.008499-0.003258j)  (0.018911+0.020922j)  (0.006846+0.003929j)  (0.009552-0.003642j)  (-0.010390+0.003989j)  (0.005965+0.032856j)  (-0.015802-0.031409j)  (0.009602+0.002596j)  (-0.043435-0.006447j)  (0.010340+0.013626j)  (-0.007499-0.021127j)  (0.009184-0.008219j)  (-0.022535-0.000985j)  (0.025850+0.081320j)  (0.005713-0.014538j)  (-0.067071+0.018830j)  (0.014653+0.015511j)
 (0.006540-0.002252j)  (-0.001928-0.006744j)  (-0.007036+0.002888j)  (0.013552-0.003204j)  (0.013590+0.015111j)  (-0.003579+0.004719j)  (0.012218+0.017630j)  (-0.000004+0.000559j)  (-0.019511-0.005708j)  (0.002515-0.003999j)  (0.018763-0.085954j)  (-0.016928+0.007280j)  (0.016888+0.065839j)  (0.008299+0.001082j)  (0.020519+0.025048j)  (0.014527-0.017033j)  (0.007183+0.009506j)  (-0.006551-0.001700j)  (-0.001868-0.004259j)  (0.000379-0.002183j)  (0.003017+0.005009j)  (0.008514-0.013340j)  (-0.005611-0.052531j)  (0.001077+0.014886j)  (-0.015984+0.040651j)  (-0.021903+0.008316j)  (0.004079+0.063906j)  (-0.016235-0.080505j)  (0.023378-0.005680j)  (0.013965-0.020350j)  (-0.033046+0.057083j)  (-0.009248+0.001686j)  (0.018269+0.012480j)  (-0.025893+0.008999j)  (0.001986+0.002323j)  (-0.006668+0.028606j)  (-0.006349+0.011096j)  (-0.959093-0.033139j)  (-0.001872+0.061341j)  (0.035164+0.027213j)  (0.001759-0.004570j)  (0.022516-0.029704j)  (-0.003706-0.033859j)  (0.015398+0.018892j)  (0.019025-0.031389j)  (-0.025353+0.006041j)  (0.028672+0.006379j)  (0.012101-0.010014j)  (0.029825-0.033234j)  (-0.021827+0.077147j)  (0.031082-0.035137j)  (0.031253+0.028804j)  (0.005613+0.025025j)  (-0.015181-0.002754j)  (-0.001709+0.022820j)  (-0.011582-0.045326j)  (0.015532+0.027889j)  (0.011768+0.004264j)  (0.010048-0.009006j)  (0.000599-0.008921j)  (0.001617-0.001584j)  (0.026025-0.050018j)  (0.047120+0.049871j)  (0.000228+0.029969j)
 (-0.003478+0.000393j)  (0.002213-0.000078j)  (-0.001507-0.010353j)  (0.005098-0.001823j)  (-0.016892-0.004699j)  (-0.079109-0.001262j)  (-0.000150-0.013472j)  (0.015007+0.001960j)  (0.064734-0.097063j)  (0.019863-0.001424j)  (-0.067827-0.038866j)  (-0.002610-0.054811j)  (-0.003551-0.000615j)  (-0.006273+0.001977j)  (-0.010229-0.007324j)  (-0.002640-0.004882j)  (0.006616+0.001885j)  (0.006837-0.001957j)  (0.006362+0.001198j)  (0.013235+0.000111j)  (0.012046-0.004511j)  (0.003208-0.003111j)  (-0.000271+0.008554j)  (-0.007268+0.006442j)  (0.020364-0.007851j)  (0.040341-0.010227j)  (-0.004479+0.010788j)  (0.005984-0.003748j)  (-0.018447+0.103127j)  (-0.020891+0.042406j)  (0.007376+0.007140j)  (-0.017444+0.072322j)  (0.006343+0.059845j)  (-0.018702+0.007421j)  (-0.002638-0.004956j)  (0.008383+0.005410j)  (0.000622-0.045315j)  (-0.000545+0.058198j)  (-0.953205-0.011579j)  (0.026440+0.056155j)  (-0.031130-0.010058j)  (-0.019191-0.001983j)  (-0.002869+0.002185j)  (-0.005474+0.001025j)  (-0.022887+0.002085j)  (-0.006569-0.012216j)  (0.007750+0.055861j)  (-0.016721+0.001090j)  (0.000140+0.011485j)  (0.014097-0.003385j)  (-0.011383-0.020739j)  (0.003269+0.016922j)  (0.012590-0.000422j)  (0.011011-0.004548j)  (-0.003098-0.050426j)  (-0.001071-0.002468j)  (0.005348+0.012193j)  (-0.020328-0.006109j)  (-0.026853+0.053319j)  (-0.007016-0.048713j)  (-0.026799-0.054610j)  (-0.005674-0.023506j)  (-0.009162-0.008958j)  (0.060979+0.029720j)
 (0.005348+0.002877j)  (-0.006214+0.004382j)  (0.001300+0.007110j)  (0.017551+0.050511j)  (0.039058+0.094474j)  (-0.018055+0.004868j)  (-0.010808+0.007111j)  (-0.018853+0.008739j)  (-0.009169-0.008483j)  (0.005305+0.001671j)  (-0.013563+0.005339j)  (-0.017164-0.031968j)  (0.012544+0.004419j)  (0.016183+0.018364j)  (0.005328-0.006327j)  (0.004703+0.008177j)  (-0.008921+0.003752j)  (-0.001580-0.013677j)  (0.006559-0.002434j)  (0.038672+0.009845j)  (0.011150-0.000859j)  (0.018564-0.019391j)  (-0.009245+0.002407j)  (-0.017082+0.000205j)  (-0.014087+0.003565j)  (-0.011237-0.004700j)  (-0.009959+0.096024j)  (-0.005977-0.011487j)  (-0.005791-0.002827j)  (0.003922-0.012944j)  (-0.003868+0.007342j)  (-0.021336+0.031033j)  (0.014805+0.045410j)  (-0.002514+0.005273j)  (-0.001064+0.021003j)  (-0.006680+0.008496j)  (0.017405+0.000532j)  (-0.016020+0.027315j)  (-0.026169+0.054787j)  (-0.961326-0.014264j)  (0.014405-0.028171j)  (-0.081000+0.011900j)  (0.007330-0.054100j)  (-0.005119-0.019661j)  (0.020991-0.015301j)  (-0.011808-0.003767j)  (0.045238-0.038824j)  (0.003827-0.038075j)  (0.002697-0.047121j)  (0.010814-0.025611j)  (-0.001780-0.015100j)  (-0.013337+0.016580j)  (-0.031767+0.049264j)  (-0.007699+0.012199j)  (-0.006911+0.052817j)  (0.015559-0.005221j)  (0.036743+0.008568j)  (-0.017813+0.021079j)  (0.002626-0.003510j)  (-0.019430+0.026892j)  (0.033977+0.035423j)  (0.006383+0.009554j)  (-0.009519-0.026891j)  (-0.024674+0.036988j)
 (0.009759+0.009951j)  (-0.018244-0.077569j)  (-0.006216-0.009471j)  (-0.018717+0.003625j)  (-0.003009-0.003135j)  (-0.010180-0.005683j)  (0.006722+0.002664j)  (-0.004481+0.000799j)  (0.006213+0.097559j)  (-0.007747+0.015676j)  (0.008985+0.006418j)  (-0.040998-0.003858j)  (-0.019404-0.006641j)  (-0.000178-0.015078j)  (0.004745-0.033810j)  (-0.008433+0.010467j)  (-0.016785-0.073053j)  (0.001278+0.000893j)  (0.013218+0.101317j)  (0.002768+0.021427j)  (-0.040674-0.035534j)  (-0.005664-0.002625j)  (0.000750-0.029105j)  (-0.018648-0.013785j)  (-0.003587+0.005679j)  (0.003056-0.004491j)  (-0.003027-0.000882j)  (-0.003443-0.003489j)  (0.013328+0.009077j)  (-0.004147+0.007849j)  (-0.004403-0.005762j)  (-0.030798+0.001168j)  (0.001364+0.018569j)  (0.000770+0.007673j)  (0.038441-0.014401j)  (0.009770-0.014489j)  (0.019928-0.020876j)  (-0.002632-0.011105j)  (0.020086-0.002801j)  (-0.012179-0.020773j)  (-0.964638+0.003603j)  (-0.016225-0.020809j)  (0.006558-0.010754j)  (0.037006-0.021589j)  (0.008678-0.012018j)  (0.008896+0.043151j)  (0.001697+0.011367j)  (-0.011153-0.020211j)  (-0.004945+0.007635j)  (0.010852+0.002335j)  (0.026784-0.039596j)  (-0.009317-0.007997j)  (-0.022283-0.022709j)  (-0.032909-0.002106j)  (0.016651+0.004980j)  (-0.017813+0.008919j)  (0.008876+0.045113j)  (0.003748+0.030113j)  (-0.022631-0.018735j)  (-0.006762+0.045047j)  (-0.012820+0.000363j)  (-0.030232-0.033902j)  (-0.026714+0.004243j)  (-0.015811-0.041390j)
